Dataset Index,Execution,Algorithm Type,Radius,Silhouette,Rand Index,Duration
19,9,approx1,0.5707532637669738,0.4029394561739159,0.2208318818969135,0.03379416465759277
19,10,approx2_5,0.8634802500357838,0.2877219906659153,0.30050138896734113,0.0032062530517578125
19,11,approx2_10,0.8634802500357838,0.2877219906659153,0.30050138896734113,0.0032587051391601562
19,12,approx2_15,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.005035400390625
19,13,approx2_20,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.005286693572998047
19,14,approx2_25,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.00551152229309082
20,1,np,3.5494985080232997,0.4386952862501555,0.5643500699753401,0.0029764175415039062
20,2,approx1,3.767958832698574,0.29685621583998845,0.38049222919275105,0.012655973434448242
20,3,approx2_5,6.880439485199081,0.31967153038984514,0.507006497730473,0.00370025634765625
20,4,approx2_10,5.160329613899311,0.35669769774935484,0.6384694096963476,0.004723310470581055
20,5,approx2_15,4.300274678249425,0.19655315769334597,0.5130004656986455,0.007638216018676758
20,6,approx2_20,3.870247210424483,0.1996885493064154,0.45109344807170476,0.008359670639038086
20,7,approx2_25,3.870247210424483,0.1996885493064154,0.45109344807170476,0.008724451065063477
20,8,np,3.7167332211863,0.3681356892057406,0.517930422256838,0.003444194793701172
20,9,approx1,3.767958832698574,0.29685621583998845,0.38049222919275105,0.013436079025268555
20,10,approx2_5,6.880439485199081,0.31967153038984514,0.507006497730473,0.0029916763305664062
20,11,approx2_10,5.160329613899311,0.35669769774935484,0.6384694096963476,0.004398822784423828
20,12,approx2_15,4.300274678249425,0.19655315769334597,0.5130004656986455,0.005841255187988281
20,13,approx2_20,3.870247210424483,0.1996885493064154,0.45109344807170476,0.007397890090942383
20,14,approx2_25,3.870247210424483,0.1996885493064154,0.45109344807170476,0.008651971817016602
21,1,np,3.6563127079435693,0.3381778444376883,0.3103210454089548,0.004529714584350586
21,2,approx1,3.3536095174873153,0.16756661331010236,0.11221954381738435,0.01912212371826172
21,3,approx2_5,5.272569217678144,-0.07860542800488717,0.03970694828566576,0.002279043197631836
21,4,approx2_10,3.954426913258608,0.05741701147822824,0.2490792646944943,0.003405332565307617
21,5,approx2_15,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.005096435546875
21,6,approx2_20,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.005303621292114258
21,7,approx2_25,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.008005142211914062
21,8,np,3.655349204554054,0.3365470921331578,0.31391716182850943,0.0033850669860839844
21,9,approx1,3.3536095174873153,0.16756661331010236,0.11221954381738435,0.012232780456542969
21,10,approx2_5,5.272569217678144,-0.07860542800488717,0.03970694828566576,0.005212306976318359
21,11,approx2_10,3.954426913258608,0.05741701147822824,0.2490792646944943,0.0033769607543945312
21,12,approx2_15,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.009092092514038086
21,13,approx2_20,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.0053408145904541016
21,14,approx2_25,3.2953557610488398,0.12155318853702361,0.24935722074770908,0.005887031555175781
22,1,np,3.64631906420582,0.357469505894052,0.49803437727847943,0.003513813018798828
22,2,approx1,3.8229310937621235,0.360697430474684,0.4638461004415501,0.011967897415161133
22,3,approx2_5,6.932388126830249,0.030170997196348595,0.3265741738391383,0.0028786659240722656
22,4,approx2_10,5.199291095122687,0.0750255764145236,0.43140464219511687,0.004125118255615234
22,5,approx2_15,4.332742579268906,0.16654531419241447,0.6099695008332272,0.005462169647216797
